Cluster,Members - Gene names,Members - Protein IDs
(ER)-localized multiprotein complex,"Pdia4,Hsp90b1,P4hb,Hspa5,Ppib,Uggt1,Dnajb11,Sdf2l1,Hyou1,Cabp1",
20 SProteasome,"Psmb1,Psmb5,Psma3,Psma2,Psmb7,Psmb4,Psmb6,Psma6,Psma4,Psmb3,Psmb2,Psma1,Psma7,Psma5",
Anaphase-promoting complex,"Anapc1,Ccdc27,Cdc23,Anapc5,Anapc2,Anapc10,Cdc16,Anapc4,Anapc7",
BLOC-1 complex,"Bloc1s1,Bloc1s3,Bloc1s5,Bloc1s4,Dtnbp1,Bloc1s2,Bloc1s6,Snapin",
Caveolar macromolecular signaling complex,"Adrb2,Prkar2b,Cav3,Gnas,Adcy8,Cacna1c,Ppp2r1a",
CCT complex,"Tcp1,Cct8,Cct7,Cct2,Cct4,Cct5,Cct6a,Cct3",
COP9 signalosome complex,"Cops5,Cops3,Cops4,Cops6,Cops2,Cops8,Gps1,Cops7a",
"Cytochrome bc1-complex, mitochondrial","Mt-Cyb,Uqcrh,Uqcr10,Uqcr11,Uqcrq,Uqcrfs1,Uqcrc1,Cyc1,Uqcrb,Uqcrc2",
Gata1-Fog1-MeCP1 complex,"Hdac1,Zfpm1,Gata1,Hdac2,Rbbp4,Rbbp7,Chd4,Mta1,Gatad2b,Mta3,Mta2,Mbd3,Mbd2",
Ikaros complex,"Ikzf3,Hdac1,Hdac2,Ikzf2,Smarcc1,Ikzf1,Smarca4,Rbbp4,Smarcd1,Smarcd3,Chd4,Smarcd2",
MCM complex,"Mcm3,Mcm4,Mcm5,Mcm2,Mcm6,Mcm7",
PYR complex,"Smarce1,Actb,Hmgb1,Hdac2,Smarcc1,Ikzf1,Rbbp7,Smarcd1,Smarcc2,Chd4,Smarcb1,Actl6a",
Ubiquitin E3 ligase,"Tceb2,Rbx1,Tceb1,Neurl2,Cul5",
